message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
Logon,A,admin,1401,EncryptedPasswordLen,LENGTH,N,46
Logon,A,admin,1402,EncryptedPassword,DATA,N,47
Logon,A,admin,1403,EncryptedNewPasswordLen,LENGTH,N,48
Logon,A,admin,1404,EncryptedNewPassword,DATA,N,49
Logon,A,admin,1409,SessionStatus,INT,N,50
Logon,A,admin,1137,DefaultApplVerID,STRING,Y,51
Logon,A,admin,1407,DefaultApplExtID,INT,N,52
Logon,A,admin,1408,DefaultCstmApplVerID,STRING,N,53
Logon,A,admin,58,Text,STRING,N,54
Logon,A,admin,354,EncodedTextLen,LENGTH,N,55
Logon,A,admin,355,EncodedText,DATA,N,56
Logon,A,admin,93,SignatureLength,LENGTH,N,57
Logon,A,admin,89,Signature,DATA,N,58
Logon,A,admin,10,CheckSum,STRING,Y,59
Logout,5,admin,8,BeginString,STRING,Y,1
Logout,5,admin,9,BodyLength,LENGTH,Y,2
Logout,5,admin,35,MsgType,STRING,Y,3
Logout,5,admin,1128,ApplVerID,STRING,N,4
Logout,5,admin,1156,ApplExtID,INT,N,5
Logout,5,admin,1129,CstmApplVerID,STRING,N,6
Logout,5,admin,49,SenderCompID,STRING,Y,7
Logout,5,admin,56,TargetCompID,STRING,Y,8
Logout,5,admin,115,OnBehalfOfCompID,STRING,N,9
Logout,5,admin,128,DeliverToCompID,STRING,N,10
Logout,5,admin,90,SecureDataLen,LENGTH,N,11
Logout,5,admin,91,SecureData,DATA,N,12
Logout,5,admin,34,MsgSeqNum,SEQNUM,Y,13
Logout,5,admin,50,SenderSubID,STRING,N,14
Logout,5,admin,142,SenderLocationID,STRING,N,15
Logout,5,admin,57,TargetSubID,STRING,N,16
Logout,5,admin,143,TargetLocationID,STRING,N,17
Logout,5,admin,116,OnBehalfOfSubID,STRING,N,18
Logout,5,admin,144,OnBehalfOfLocationID,STRING,N,19
Logout,5,admin,129,DeliverToSubID,STRING,N,20
Logout,5,admin,145,DeliverToLocationID,STRING,N,21
