component_name,field_number,field_name,field_type,required,component_path
UnderlyingInstrument,41865,UnderlyingMarketDisruptionEvent,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionEventGrp/NoUnderlyingMarketDisruptionEvents
UnderlyingInstrument,41338,UnderlyingMarketDisruptionValue,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionEventGrp/NoUnderlyingMarketDisruptionEvents
UnderlyingInstrument,41860,UnderlyingMarketDisruptionFallbackProvision,INT,N,UnderlyingInstrument/UnderlyingMarketDisruption
UnderlyingInstrument,41866,NoUnderlyingMarketDisruptionFallbacks,GROUP,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackGrp
UnderlyingInstrument,41867,UnderlyingMarketDisruptionFallbackType,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackGrp/NoUnderlyingMarketDisruptionFallbacks
UnderlyingInstrument,41339,UnderlyingMarketDisruptionFallbackValue,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackGrp/NoUnderlyingMarketDisruptionFallbacks
UnderlyingInstrument,41868,NoUnderlyingMarketDisruptionFallbackReferencePrices,GROUP,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp
UnderlyingInstrument,41869,UnderlyingMarketDisruptionFallbackUnderlierType,INT,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41870,UnderlyingMarketDisruptionFallbackUnderlierSecurityID,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41871,UnderlyingMarketDisruptionFallbackUnderlierSecurityIDSource,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41872,UnderlyingMarketDisruptionFallbackUnderlierSecurityDesc,STRING,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41873,EncodedUnderlyingMarketDisruptionFallbackUnderlierSecDescLen,LENGTH,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41874,EncodedUnderlyingMarketDisruptionFallbackUnderlierSecurityDesc,DATA,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41875,UnderlyingMarketDisruptionFallbackOpenUnits,QTY,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41876,UnderlyingMarketDisruptionFallbackBasketCurrency,CURRENCY,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41877,UnderlyingMarketDisruptionFallbackBasketDivisor,FLOAT,N,UnderlyingInstrument/UnderlyingMarketDisruption/UnderlyingMarketDisruptionFallbackReferencePriceGrp/NoUnderlyingMarketDisruptionFallbackReferencePrices
UnderlyingInstrument,41861,UnderlyingMarketDisruptionMaximumDays,INT,N,UnderlyingInstrument/UnderlyingMarketDisruption
UnderlyingInstrument,41862,UnderlyingMarketDisruptionMaterialityPercentage,PERCENTAGE,N,UnderlyingInstrument/UnderlyingMarketDisruption
UnderlyingInstrument,41863,UnderlyingMarketDisruptionMinimumFuturesContracts,INT,N,UnderlyingInstrument/UnderlyingMarketDisruption
UnderlyingInstrument,41810,UnderlyingExerciseDesc,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41811,EncodedUnderlyingExerciseDescLen,LENGTH,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41812,EncodedUnderlyingExerciseDesc,DATA,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41813,UnderlyingAutomaticExerciseIndicator,BOOLEAN,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41814,UnderlyingAutomaticExerciseThresholdRate,FLOAT,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41815,UnderlyingExerciseConfirmationMethod,INT,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41816,UnderlyingManualNoticeBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41817,UnderlyingFallbackExerciseIndicator,BOOLEAN,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41818,UnderlyingLimitedRightToConfirmIndicator,BOOLEAN,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,41819,UnderlyingExerciseSplitTicketIndicator,BOOLEAN,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,42887,UnderlyingSettlMethodElectingPartySide,INT,N,UnderlyingInstrument/UnderlyingOptionExercise
UnderlyingInstrument,43076,UnderlyingSettlMethodElectionDateUnadjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,43077,UnderlyingSettlMethodElectionDateBusinessDayConvention,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,43074,NoUnderlyingSettlMethodElectionDateBusinessCenters,GROUP,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate/UnderlyingSettlMethodElectionDateBusinessCenterGrp
UnderlyingInstrument,43075,UnderlyingSettlMethodElectionDateBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate/UnderlyingSettlMethodElectionDateBusinessCenterGrp/NoUnderlyingSettlMethodElectionDateBusinessCenters
UnderlyingInstrument,43078,UnderlyingSettlMethodElectionDateRelativeTo,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,43079,UnderlyingSettlMethodElectionDateOffsetPeriod,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
